area,bedrooms,age,price
3334,5.0,37,535730.0
2723,3.0,29,421584.0
3194,5.0,26,508001.0
3339,3.0,30,515582.0
3772,6.0,13,625969.0
2809,,47,
3162,3.0,15,513450.0
4035,4.0,24,652406.0
3382,4.0,32,529448.0
3665,5.0,45,587975.0
3682,3.0,6,589982.0
3305,5.0,22,537416.0
3660,6.0,18,610249.0
3378,4.0,46,522151.0
2686,5.0,16,455394.0
3667,6.0,10,616253.0
3472,5.0,16,552712.0
2611,4.0,44,416140.0
3370,4.0,47,502244.0
2907,5.0,35,487673.0
3704,3.0,22,583380.0
2632,3.0,9,436814.0
3806,3.0,9,584129.0
3752,4.0,40,596638.0
3406,6.0,21,549592.0
2875,5.0,46,458661.0
3798,4.0,30,608454.0
3995,4.0,34,628812.0
3808,3.0,24,601987.0
3044,3.0,5,480713.0
3088,3.0,38,468465.0
2886,5.0,29,462936.0
3904,6.0,43,633212.0
3237,6.0,30,545984.0
3370,3.0,9,535408.0
2694,4.0,7,428640.0
3850,3.0,11,594251.0
3893,4.0,26,615159.0
2896,4.0,36,474043.0
3952,4.0,44,625609.0
3643,6.0,38,599399.0
3207,6.0,16,546287.0
4034,6.0,1,669599.0
3050,3.0,37,453973.0
3872,5.0,3,649023.0
2780,6.0,49,443380.0
2923,5.0,42,448761.0
3604,4.0,23,570371.0
3884,5.0,35,621321.0
3349,5.0,41,546647.0
2739,5.0,25,431549.0
3620,4.0,12,587578.0
3198,6.0,29,532157.0
4085,,18,
3489,6.0,7,585669.0
3443,5.0,12,542920.0
3296,6.0,32,532107.0
3776,6.0,8,635206.0
3525,6.0,27,570858.0
2749,5.0,48,433139.0
3734,,29,
2625,4.0,16,414446.0
4088,6.0,23,645461.0
3556,4.0,30,567754.0
3486,5.0,13,575641.0
3741,3.0,49,579259.0
4069,6.0,8,682332.0
3273,5.0,37,507098.0
3528,4.0,16,544424.0
3852,3.0,40,577542.0
3363,5.0,30,532716.0
2721,4.0,33,418663.0
3950,6.0,35,652914.0
3069,6.0,43,497364.0
2887,6.0,16,482740.0
3125,4.0,43,492505.0
3776,3.0,43,563193.0
3191,5.0,27,514357.0
2641,5.0,34,420772.0
2874,4.0,12,449469.0
4062,6.0,9,645399.0
2807,6.0,37,448747.0
3379,6.0,11,548170.0
2766,6.0,32,451773.0
2711,6.0,2,454403.0
3973,5.0,29,620535.0
3753,4.0,38,583311.0
3335,3.0,26,513651.0
3412,4.0,16,547539.0
2816,3.0,7,439108.0
4005,5.0,41,624129.0
2624,3.0,26,424850.0
2667,4.0,9,416739.0
3578,3.0,11,541814.0
3607,4.0,3,590222.0
2834,6.0,7,482084.0
2891,5.0,35,469099.0
3622,3.0,1,576009.0
3301,4.0,47,511184.0
3327,3.0,28,512751.0
3155,3.0,27,504232.0
2632,4.0,19,426408.0
3635,5.0,27,576978.0
2812,5.0,8,465054.0
3762,5.0,44,607164.0
4045,3.0,13,626405.0
3223,5.0,2,533686.0
3370,5.0,30,525772.0
3841,3.0,43,580282.0
3263,5.0,26,516715.0
3421,5.0,5,570454.0
2907,3.0,39,460951.0
3798,5.0,48,613768.0
3772,4.0,28,579131.0
3549,4.0,25,567261.0
3147,3.0,19,505960.0
3407,4.0,3,544602.0
4017,4.0,34,613600.0
2673,4.0,37,414672.0
2897,5.0,19,458050.0
3519,4.0,13,548018.0
3330,3.0,45,522656.0
3476,5.0,20,550983.0
3377,3.0,29,530962.0
4018,3.0,21,612385.0
3029,6.0,32,498486.0
2799,4.0,0,479558.0
4047,5.0,3,674295.0
3685,3.0,25,586896.0
2941,4.0,16,466333.0
3465,5.0,35,553232.0
3668,4.0,49,549351.0
3402,6.0,3,552714.0
3712,5.0,3,612049.0
2633,4.0,8,448825.0
3245,6.0,32,519702.0
2832,4.0,42,463100.0
3367,4.0,15,521808.0
2636,3.0,17,429089.0
4083,3.0,23,636653.0
2890,6.0,35,466535.0
2797,6.0,17,486156.0
3494,5.0,27,564136.0
3878,6.0,20,645500.0
3704,6.0,26,607859.0
4070,4.0,14,660966.0
2736,4.0,30,431317.0
2789,3.0,49,412107.0
2729,6.0,43,446356.0
2809,6.0,22,474421.0
3992,6.0,1,655748.0
2891,3.0,29,447295.0
4000,6.0,45,628317.0
3971,3.0,27,599264.0
2768,6.0,37,442750.0
3404,6.0,8,554366.0
2776,5.0,29,447690.0
2923,4.0,35,474228.0
3108,4.0,42,482491.0
3403,4.0,26,535851.0
3738,5.0,42,598576.0
3653,4.0,41,551710.0
3913,3.0,16,600267.0
2746,3.0,23,441937.0
3897,3.0,15,615129.0
2821,6.0,15,489952.0
2940,4.0,39,444820.0
3109,5.0,20,499887.0
3114,5.0,43,509860.0
2669,3.0,47,420537.0
3981,3.0,41,624224.0
3508,6.0,44,566629.0
3156,4.0,10,501878.0
3485,6.0,11,592977.0
3365,5.0,43,550761.0
3946,3.0,14,604616.0
2691,5.0,25,458209.0
3965,4.0,11,641484.0
3023,4.0,13,492326.0
4038,5.0,4,673601.0
3310,4.0,34,531088.0
3567,6.0,2,610964.0
2874,6.0,21,473138.0
3460,4.0,44,549004.0
2643,5.0,46,435875.0
3707,6.0,18,622645.0
3033,4.0,27,471190.0
3409,4.0,9,528081.0
2693,4.0,49,421818.0
3798,3.0,21,570663.0
4029,3.0,31,603394.0
2801,4.0,19,461541.0
3098,4.0,29,499521.0
3080,4.0,21,500766.0
2929,6.0,23,496879.0
2809,6.0,38,461019.0
3217,6.0,18,528785.0
3640,5.0,13,583360.0
2706,4.0,8,441364.0
2764,6.0,2,487614.0
3206,4.0,32,513396.0
3228,5.0,4,531380.0
3815,3.0,5,605587.0
3819,5.0,39,619626.0
3931,4.0,42,591135.0
2736,4.0,15,445595.0
3552,4.0,47,539014.0
3459,6.0,34,556334.0
3717,3.0,10,582584.0
3350,4.0,42,506114.0
3711,3.0,2,570073.0
2760,5.0,48,429056.0
2747,4.0,25,442756.0
3184,4.0,34,493596.0
3055,4.0,2,497207.0
3711,3.0,11,591087.0
3637,6.0,35,583327.0
3938,6.0,43,641109.0
3744,3.0,0,572264.0
3551,5.0,40,566388.0
3432,3.0,39,537522.0
3315,,48,
3332,5.0,4,544532.0
3532,6.0,33,563474.0
2881,6.0,9,481164.0
3400,5.0,6,575662.0
4050,6.0,26,673372.0
3070,4.0,3,500442.0
3908,4.0,34,614249.0
3900,3.0,12,590778.0
3948,6.0,32,646500.0
3851,6.0,35,608502.0
3490,5.0,35,566465.0
3195,4.0,24,495198.0
3247,5.0,18,517605.0
3173,4.0,35,480523.0
3253,3.0,41,484183.0
2856,5.0,39,439991.0
3760,5.0,38,585219.0
3831,5.0,23,630860.0
3063,3.0,28,469552.0
3763,6.0,10,609485.0
3628,4.0,38,582863.0
3023,5.0,6,483570.0
2948,6.0,49,463209.0
3541,5.0,3,594149.0
3906,6.0,24,652422.0
3186,4.0,11,510780.0
3606,4.0,28,547788.0
4057,5.0,29,627572.0
3843,4.0,30,588291.0
3419,3.0,12,554413.0
3339,4.0,23,536147.0
3473,4.0,38,534407.0
3386,4.0,31,541663.0
3997,4.0,1,649762.0
3914,3.0,40,616676.0
3037,5.0,29,494160.0
3620,5.0,48,567985.0
3386,3.0,39,512526.0
3541,4.0,42,567503.0
3455,5.0,35,562305.0
3049,6.0,41,496390.0
3950,4.0,37,607226.0
3677,5.0,29,580600.0
3416,4.0,25,539104.0
3718,6.0,37,585857.0
2659,6.0,46,434109.0
2936,6.0,28,485690.0
2763,4.0,26,444507.0
3545,3.0,35,539495.0
3730,6.0,38,585644.0
2801,5.0,0,456119.0
3924,4.0,26,600832.0
3489,3.0,46,548501.0
3150,4.0,47,478612.0
3637,6.0,46,592154.0
3503,3.0,4,564376.0
3616,4.0,30,563136.0
3134,4.0,12,506805.0
3104,5.0,10,507234.0
3833,5.0,0,635164.0
4079,6.0,45,667059.0
3068,6.0,19,499808.0
4097,4.0,49,617449.0
3000,6.0,0,528512.0
3680,5.0,32,567739.0
3482,3.0,19,533804.0
3263,5.0,38,501328.0
2880,4.0,39,439752.0
3628,5.0,23,585848.0
3212,4.0,46,517937.0
3604,6.0,16,587448.0
2905,4.0,48,449397.0
2943,4.0,26,467183.0
2753,3.0,8,418965.0
3977,3.0,28,596022.0
2957,6.0,22,488378.0
3297,5.0,39,507135.0
3007,4.0,34,491079.0
4035,6.0,15,644192.0
3653,5.0,7,577651.0
3529,6.0,1,589388.0
3995,6.0,28,642276.0
3231,4.0,2,517360.0
3547,5.0,8,566958.0
3454,6.0,47,559138.0
3102,3.0,27,482440.0
2607,3.0,19,393453.0
3217,5.0,36,531377.0
3609,5.0,18,576745.0
2737,4.0,38,445574.0
3294,5.0,35,532677.0
3451,3.0,47,542785.0
4000,4.0,48,617806.0
3532,5.0,42,547224.0
3772,4.0,7,611408.0
3608,4.0,48,562336.0
3883,6.0,45,611415.0
2726,3.0,48,407433.0
3177,5.0,36,502565.0
3404,5.0,31,544246.0
3948,5.0,4,649268.0
3576,5.0,5,585785.0
2712,3.0,7,439395.0
3250,6.0,23,545663.0
2837,4.0,28,454359.0
3984,4.0,2,633573.0
3590,5.0,4,603605.0
2663,5.0,4,443622.0
3054,4.0,26,476931.0
3889,5.0,13,612906.0
4068,5.0,26,635628.0
3203,3.0,44,474101.0
3223,4.0,1,518018.0
4043,3.0,22,630970.0
2939,4.0,46,457568.0
3898,6.0,8,655590.0
3993,5.0,5,648200.0
2826,6.0,4,462580.0
3849,3.0,12,595641.0
3508,6.0,18,581781.0
3852,6.0,46,626962.0
2969,4.0,33,462046.0
3752,4.0,2,605827.0
3407,6.0,29,567010.0
3648,5.0,47,564430.0
3298,4.0,25,512622.0
2892,4.0,34,468177.0
2955,5.0,21,478459.0
3437,6.0,8,568010.0
2734,6.0,17,479236.0
2603,3.0,26,421504.0
3850,6.0,36,637763.0
3489,6.0,43,569548.0
3280,5.0,29,535960.0
3044,3.0,11,498134.0
4041,5.0,32,652052.0
3908,4.0,23,597087.0
3436,4.0,19,543966.0
2626,4.0,0,450670.0
3336,4.0,21,549658.0
2848,5.0,28,470734.0
2965,6.0,33,499462.0
3825,4.0,43,582228.0
4061,3.0,18,612328.0
2797,5.0,0,475400.0
3529,4.0,38,540783.0
3237,5.0,18,513597.0
3206,3.0,26,513006.0
2672,4.0,13,442420.0
2846,6.0,3,469605.0
3452,4.0,1,547221.0
3759,4.0,39,565754.0
2813,3.0,23,457639.0
4099,6.0,44,667830.0
3947,5.0,31,623455.0
2702,4.0,7,425311.0
2927,3.0,30,472009.0
3195,5.0,28,515784.0
3847,3.0,48,587821.0
2856,5.0,8,478570.0
3971,5.0,26,644226.0
3731,3.0,5,573981.0
3526,4.0,5,584959.0
3773,6.0,35,605197.0
4016,4.0,26,641160.0
2600,5.0,37,415790.0
3984,6.0,16,659702.0
3291,3.0,35,521093.0
3713,4.0,40,580313.0
3698,4.0,12,569605.0
3099,3.0,28,498178.0
3338,,5,
3235,5.0,2,522978.0
2943,6.0,20,477184.0
3720,5.0,14,613001.0
3451,6.0,17,565251.0
2882,3.0,26,459279.0
3318,4.0,4,534808.0
2632,4.0,46,397758.0
3739,3.0,8,590972.0
3054,6.0,8,530180.0
3028,3.0,19,463843.0
3427,3.0,15,556254.0
3290,5.0,19,529878.0
2773,3.0,18,456868.0
3756,4.0,25,580478.0
4065,6.0,37,643400.0
2693,5.0,14,446871.0
3971,5.0,24,637892.0
4025,3.0,5,618751.0
3019,4.0,9,486374.0
3004,5.0,27,498082.0
3541,3.0,26,548937.0
3809,5.0,15,628375.0
3575,4.0,35,553519.0
2975,3.0,13,463861.0
3302,4.0,10,547540.0
3097,3.0,11,494627.0
3829,3.0,35,595815.0
4038,4.0,14,638375.0
3989,6.0,0,665934.0
3338,3.0,9,526336.0
3019,6.0,45,474093.0
3185,4.0,1,515067.0
3842,6.0,4,630110.0
3998,6.0,25,636673.0
3646,3.0,27,553873.0
3060,3.0,36,460518.0
3319,4.0,19,523026.0
3978,3.0,13,629745.0
3675,3.0,24,570638.0
3598,5.0,49,554243.0
4068,4.0,47,633636.0
3415,5.0,20,542784.0
2704,4.0,0,434531.0
3240,6.0,32,524254.0
4018,5.0,40,631957.0
2927,6.0,30,482116.0
3206,3.0,34,497886.0
3869,3.0,37,609901.0
4038,3.0,36,604108.0
2769,5.0,41,448873.0
2766,6.0,46,452396.0
3933,6.0,36,634742.0
3539,4.0,34,544789.0
3194,4.0,16,499572.0
4015,3.0,36,624854.0
3844,3.0,5,623545.0
3433,5.0,25,553405.0
3434,6.0,49,552001.0
3738,5.0,1,611436.0
3460,5.0,22,562066.0
2934,5.0,23,488331.0
3341,6.0,12,560134.0
3843,4.0,8,605577.0
3870,4.0,36,616559.0
2700,3.0,22,420696.0
3015,5.0,42,483817.0
2821,6.0,49,466633.0
3802,4.0,28,609876.0
2774,4.0,6,472983.0
3205,5.0,14,534696.0
3380,6.0,47,558812.0
3448,5.0,28,545108.0
3690,6.0,13,591556.0
4080,6.0,34,642324.0
3611,5.0,6,607927.0
2725,5.0,30,427795.0
3762,3.0,10,582942.0
3224,3.0,0,494082.0
3330,4.0,7,553819.0
3779,6.0,2,610783.0
3296,5.0,26,548479.0
3744,4.0,16,597177.0
2921,5.0,37,482832.0
3048,5.0,2,508818.0
3309,6.0,45,536301.0
3914,6.0,31,641486.0
2603,4.0,3,446168.0
3300,6.0,37,530219.0
3862,3.0,1,601200.0
3795,5.0,47,609876.0
3456,4.0,37,533295.0
3502,5.0,13,565229.0
3227,4.0,5,502884.0
3502,5.0,18,567901.0
3434,5.0,47,522067.0
3204,4.0,33,501617.0
3469,4.0,23,530760.0
4003,3.0,34,633160.0
3733,5.0,42,574564.0
3953,3.0,1,614132.0
2700,6.0,47,436211.0
3294,4.0,30,514572.0
3445,3.0,20,529583.0
3271,4.0,24,514681.0
3659,5.0,15,578408.0
2837,3.0,0,474574.0
3867,3.0,19,588519.0
2850,5.0,4,473371.0
2992,6.0,8,485189.0
3366,4.0,2,537465.0
3905,3.0,27,617710.0
2621,4.0,1,426443.0
3029,3.0,35,465696.0
3853,6.0,28,639266.0
3000,4.0,44,481405.0
3777,5.0,39,614391.0
3606,3.0,16,544960.0
3743,6.0,39,587597.0
4009,5.0,42,614786.0
4013,5.0,49,637613.0
2996,6.0,5,515922.0
3970,3.0,1,633909.0
3186,3.0,42,495081.0
3619,3.0,29,549055.0
3550,6.0,15,583755.0
3702,4.0,29,569047.0
3430,4.0,26,548862.0
2799,4.0,34,455379.0
3757,6.0,21,617727.0
3299,6.0,20,535924.0
3794,5.0,26,601162.0
3051,6.0,37,511975.0
2738,5.0,24,445403.0
3354,4.0,29,543431.0
3937,5.0,49,613976.0
4099,6.0,30,678478.0
3969,5.0,16,635227.0
2987,5.0,12,485565.0
3749,5.0,43,573741.0
3318,3.0,11,530667.0
3821,5.0,18,605524.0
3641,5.0,38,565232.0
3309,5.0,34,545309.0
3047,4.0,19,477878.0
2950,4.0,9,494727.0
3264,5.0,32,523221.0
2925,6.0,12,490384.0
3024,4.0,43,483079.0
2764,6.0,18,449437.0
3801,4.0,3,594460.0
4063,4.0,43,640687.0
3264,6.0,46,517405.0
3273,5.0,4,548715.0
3062,6.0,11,508033.0
3353,5.0,4,562363.0
3759,3.0,23,593311.0
3347,3.0,25,508902.0
2646,3.0,45,413966.0
3612,4.0,26,575512.0
3239,5.0,1,524103.0
3529,4.0,6,550362.0
2937,4.0,21,462368.0
3781,6.0,20,598633.0
3486,6.0,30,553210.0
2888,5.0,35,459398.0
2715,6.0,30,432682.0
3236,3.0,8,504936.0
3009,5.0,11,494525.0
3798,6.0,36,608319.0
3098,5.0,2,526633.0
3222,5.0,43,522299.0
3956,5.0,15,631142.0
3185,4.0,46,484413.0
2746,5.0,9,451377.0
3372,3.0,8,515987.0
3243,5.0,3,549824.0
3672,3.0,20,573327.0
3700,3.0,25,553473.0
2893,6.0,0,480184.0
2716,4.0,9,460170.0
2709,5.0,4,454257.0
2779,5.0,6,457696.0
3161,3.0,10,490221.0
3695,,10,
4057,4.0,32,619448.0
3909,3.0,39,612535.0
3115,6.0,3,540226.0
2674,3.0,21,429476.0
3090,4.0,19,511071.0
3945,3.0,13,622780.0
3832,3.0,21,591176.0
3666,3.0,8,591713.0
2628,5.0,10,419565.0
4034,5.0,42,626665.0
3455,3.0,29,548589.0
3804,5.0,29,625879.0
2904,5.0,39,449346.0
3377,3.0,2,545619.0
3882,4.0,0,602823.0
3996,5.0,12,656207.0
3476,3.0,12,558351.0
3457,5.0,10,568170.0
4004,4.0,16,618204.0
3485,6.0,38,579571.0
3212,3.0,25,514467.0
2690,5.0,27,421553.0
3692,6.0,29,584784.0
3217,3.0,1,517908.0
2612,6.0,48,441386.0
2825,5.0,5,469817.0
3021,5.0,28,490655.0
2767,5.0,18,458849.0
3528,,28,
4002,3.0,2,636637.0
3913,3.0,13,594458.0
3522,5.0,18,567338.0
2699,6.0,3,445454.0
3841,3.0,12,589436.0
2906,6.0,21,473330.0
2944,3.0,9,483604.0
3834,5.0,29,591634.0
3334,6.0,23,557770.0
3898,5.0,33,606514.0
4033,6.0,8,670052.0
3520,4.0,7,584273.0
3858,6.0,29,615449.0
2884,4.0,9,472193.0
2772,5.0,48,443933.0
2901,3.0,31,465949.0
3422,6.0,27,557681.0
2600,4.0,46,389712.0
2738,3.0,36,405723.0
3307,3.0,49,516150.0
3041,6.0,11,504698.0
3515,6.0,46,574070.0
3786,5.0,6,607739.0
2650,6.0,29,448067.0
2842,6.0,9,480165.0
3470,5.0,14,565869.0
2620,6.0,30,433197.0
3283,6.0,25,529565.0
3230,3.0,4,512841.0
2728,5.0,25,433370.0
2965,4.0,17,464688.0
2705,4.0,19,423857.0
2825,3.0,47,431007.0
3742,3.0,43,562661.0
3145,6.0,45,499622.0
2751,6.0,16,456893.0
3662,5.0,32,602198.0
2866,5.0,23,456252.0
3630,6.0,33,586328.0
3886,4.0,40,606028.0
3214,6.0,23,534823.0
2931,5.0,18,462537.0
3994,6.0,45,643047.0
3965,6.0,45,613678.0
4006,6.0,33,664372.0
2970,3.0,36,465204.0
3290,4.0,17,520262.0
3882,6.0,4,636916.0
3956,5.0,25,624177.0
3269,5.0,20,545027.0
3227,4.0,38,504938.0
3568,3.0,39,541474.0
2989,5.0,8,507458.0
3228,4.0,35,503260.0
2781,3.0,13,445533.0
2835,3.0,38,419371.0
2793,4.0,23,441492.0
3191,4.0,26,493912.0
3686,4.0,8,578039.0
2932,4.0,19,475906.0
3159,5.0,32,496992.0
3188,4.0,4,522621.0
2720,3.0,33,420049.0
2945,5.0,23,474119.0
3125,6.0,49,514798.0
2822,3.0,39,439109.0
2836,3.0,20,439593.0
2705,5.0,16,443608.0
3837,4.0,40,596175.0
3212,5.0,31,507081.0
3522,5.0,15,556039.0
3782,3.0,35,586099.0
4013,5.0,4,659973.0
2743,3.0,14,427725.0
3559,6.0,4,586403.0
3661,5.0,32,588502.0
2695,3.0,3,436261.0
2952,6.0,39,472001.0
3096,4.0,7,488546.0
2808,5.0,24,454851.0
2888,3.0,33,460007.0
2662,3.0,41,393145.0
2994,3.0,11,471503.0
2996,3.0,18,490044.0
4037,3.0,6,647646.0
2946,6.0,4,500120.0
2750,4.0,23,450313.0
3003,3.0,23,469272.0
2989,4.0,28,489383.0
3404,5.0,6,542350.0
3195,4.0,18,497782.0
2727,4.0,2,448677.0
3972,5.0,2,654743.0
3060,5.0,36,478417.0
3778,4.0,41,590495.0
3707,3.0,36,561932.0
3759,5.0,31,594451.0
3804,4.0,0,622315.0
3192,6.0,28,537665.0
3013,5.0,42,463577.0
3624,4.0,9,586577.0
3319,,45,
3173,3.0,19,491548.0
2923,4.0,47,462626.0
3768,5.0,9,612750.0
4081,3.0,46,617384.0
2716,5.0,15,468294.0
3341,5.0,39,545904.0
3424,4.0,8,563260.0
3942,5.0,37,641671.0
3552,6.0,39,586861.0
3160,6.0,36,497820.0
3769,4.0,4,595626.0
3092,5.0,12,518205.0
3814,6.0,48,625475.0
2679,5.0,30,455483.0
3342,5.0,44,524024.0
3830,3.0,1,592905.0
3017,4.0,8,504546.0
3512,5.0,49,563934.0
2828,4.0,42,433143.0
3942,6.0,27,650943.0
2966,3.0,27,448655.0
2607,4.0,32,399183.0
3109,3.0,23,489217.0
3390,5.0,40,533908.0
2758,4.0,37,441744.0
3779,6.0,15,616777.0
3095,4.0,14,482089.0
3226,4.0,18,529744.0
3123,6.0,17,533724.0
3398,4.0,32,523181.0
2690,3.0,35,397018.0
2890,6.0,45,467064.0
3166,3.0,30,477847.0
3275,6.0,25,547559.0
3695,,11,
3477,3.0,7,531557.0
3224,4.0,1,508670.0
3021,5.0,37,479469.0
3692,4.0,18,592140.0
3037,5.0,48,497536.0
3637,6.0,36,602431.0
2701,4.0,38,434687.0
3387,6.0,27,570676.0
3888,5.0,32,611415.0
3464,6.0,27,554370.0
3821,4.0,27,588002.0
2980,6.0,38,473991.0
2700,6.0,46,428858.0
4009,6.0,19,654214.0
3365,3.0,4,534271.0
3781,3.0,47,566196.0
3501,3.0,44,531798.0
2830,3.0,40,437118.0
3104,4.0,12,489068.0
3262,5.0,39,514413.0
3654,4.0,46,561730.0
2855,4.0,40,430835.0
3131,4.0,35,497809.0
3260,3.0,3,518778.0
3474,6.0,4,590564.0
3186,5.0,44,508184.0
2723,4.0,39,429243.0
4075,5.0,45,638950.0
3838,5.0,47,617877.0
2916,4.0,26,474689.0
3341,3.0,3,529503.0
3874,6.0,23,610125.0
3281,3.0,35,520150.0
2788,3.0,19,450262.0
3833,3.0,30,592400.0
3291,4.0,47,490819.0
3920,6.0,6,641723.0
2659,6.0,45,422014.0
3090,6.0,43,488883.0
3141,5.0,32,496471.0
2825,5.0,31,444092.0
3862,6.0,0,627751.0
2982,5.0,49,476563.0
2816,6.0,37,465021.0
3896,6.0,49,624311.0
3467,3.0,5,563670.0
3791,3.0,10,576006.0
3108,5.0,17,527676.0
3689,3.0,41,563486.0
3824,5.0,2,625268.0
4008,6.0,0,675147.0
3711,6.0,2,621368.0
3991,3.0,24,628199.0
3047,6.0,44,505733.0
3010,5.0,24,476968.0
3329,5.0,41,512642.0
3969,5.0,42,613654.0
3758,3.0,26,585089.0
2816,5.0,32,451702.0
3063,4.0,46,495626.0
3725,5.0,24,580196.0
3921,4.0,17,614981.0
3667,5.0,46,590264.0
3734,3.0,18,599381.0
4077,3.0,15,651077.0
2974,3.0,3,475234.0
3515,6.0,5,586966.0
3351,5.0,10,552198.0
3989,6.0,35,620892.0
3123,4.0,33,503344.0
3529,5.0,2,567677.0
2719,5.0,49,422529.0
2882,3.0,32,457331.0
3160,3.0,25,506304.0
3823,5.0,24,605352.0
2839,5.0,4,468593.0
3294,4.0,5,532041.0
3208,6.0,1,534305.0
2956,5.0,29,480092.0
3199,5.0,27,500787.0
4029,6.0,9,674446.0
3114,4.0,33,501983.0
3888,4.0,16,601831.0
3890,4.0,18,601569.0
2861,4.0,23,466462.0
3918,5.0,17,609520.0
3534,4.0,16,557434.0
3212,5.0,37,496492.0
3049,5.0,46,470241.0
3171,3.0,0,523729.0
3501,3.0,13,536465.0
2861,5.0,26,462648.0
2638,4.0,10,444781.0
2688,5.0,42,441162.0
3964,3.0,29,590354.0
2970,3.0,25,482168.0
3889,3.0,1,602625.0
3756,6.0,39,608514.0
3545,5.0,6,571294.0
3648,4.0,29,553847.0
4010,5.0,47,609289.0
3891,5.0,27,600832.0
2997,6.0,37,488074.0
3084,4.0,0,483232.0
2681,4.0,25,432848.0
3778,4.0,28,608746.0
3041,3.0,23,465661.0
3769,6.0,2,607850.0
3213,5.0,2,516942.0
3868,6.0,15,623143.0
3069,6.0,27,506297.0
2783,5.0,6,454049.0
3820,6.0,33,620510.0
2711,3.0,9,417682.0
3850,5.0,41,615610.0
3379,5.0,0,562319.0
2697,3.0,27,428071.0
2838,4.0,29,466023.0
3003,6.0,13,504142.0
3635,4.0,17,592018.0
3593,3.0,26,562368.0
3721,3.0,0,581976.0
3975,3.0,2,628725.0
2901,5.0,44,447823.0
3374,3.0,28,504243.0
3201,6.0,0,549350.0
3093,5.0,7,502185.0
3150,5.0,20,513363.0
2651,4.0,0,439758.0
3640,6.0,21,599465.0
3371,3.0,44,533116.0
3030,6.0,34,492613.0
4037,6.0,30,648431.0
3370,4.0,26,548703.0
3245,4.0,19,518346.0
4001,6.0,37,633291.0
3383,3.0,40,508529.0
3446,5.0,17,575122.0
4043,5.0,44,637272.0
2780,4.0,4,462983.0
